customer_id,signup_date,home_geography,historical_avg_amount,historical_txn_count
cust_0000000000,2026-02-14,Hyderabad,43009,219
cust_0000000001,2024-04-16,Bangalore,255679,51
cust_0000000002,2025-01-29,Jaipur,123035,360
cust_0000000003,2024-06-18,Ahmedabad,108017,227
cust_0000000004,2025-02-21,Howrah,220837,391
cust_0000000005,2024-10-19,Chennai,302454,224
cust_0000000006,2025-04-06,Bangalore,152824,444
cust_0000000007,2026-03-08,Bangalore,241778,317
cust_0000000008,2025-12-10,Hyderabad,59416,38
cust_0000000009,2024-01-09,Pune,95424,390
cust_0000000010,2024-07-10,Delhi,177060,251
cust_0000000011,2026-03-25,Hyderabad,158995,343
cust_0000000012,2024-02-20,Hyderabad,76069,208
cust_0000000013,2025-07-23,Mumbai,52721,237
cust_0000000014,2024-06-09,Delhi,98974,344
cust_0000000015,2025-03-15,Chennai,52215,336
cust_0000000016,2024-02-04,Kolkata,178797,385
cust_0000000017,2024-05-08,Ahmedabad,135146,196
cust_0000000018,2024-03-12,Bangalore,240254,320
cust_0000000019,2026-01-01,Ahmedabad,202034,8
cust_0000000020,2024-06-08,Hyderabad,193557,238
cust_0000000021,2024-08-27,Chennai,82245,232
cust_0000000022,2025-02-17,Chennai,85608,126
cust_0000000023,2026-01-23,Pune,50308,238
cust_0000000024,2024-04-19,Chennai,81127,289
cust_0000000025,2024-10-27,Mumbai,185863,281
cust_0000000026,2024-06-10,Howrah,80122,177
cust_0000000027,2025-04-18,Bangalore,237363,207
cust_0000000028,2023-12-21,Ahmedabad,39545,411
cust_0000000029,2026-03-13,Jaipur,171547,150
cust_0000000030,2025-04-20,Pune,74655,254
cust_0000000031,2024-06-20,Kolkata,192567,206
cust_0000000032,2025-05-04,Ahmedabad,60441,170
cust_0000000033,2026-04-13,Hyderabad,77777,362
cust_0000000034,2024-09-03,Kolkata,71876,450
cust_0000000035,2025-02-21,Kolkata,169031,349
cust_0000000036,2025-02-25,Kolkata,100361,123
cust_0000000037,2025-08-13,Pune,102070,184
cust_0000000038,2024-01-19,Mumbai,33347,172
cust_0000000039,2024-01-17,Kolkata,157151,351
cust_0000000040,2025-03-31,Bangalore,353089,135
cust_0000000041,2024-06-24,Hyderabad,212975,227
cust_0000000042,2024-07-30,Bangalore,46637,226
cust_0000000043,2024-03-08,Hyderabad,233619,105
cust_0000000044,2024-08-13,Howrah,135826,275
cust_0000000045,2025-11-30,Mumbai,29843,380
cust_0000000046,2025-02-28,Hyderabad,135209,157
cust_0000000047,2024-11-03,Mumbai,463597,326
cust_0000000048,2024-11-01,Mumbai,128864,394
cust_0000000049,2026-03-27,Delhi,372666,168
cust_0000000050,2024-10-05,Delhi,409275,91
cust_0000000051,2024-12-07,Bangalore,61660,462
cust_0000000052,2023-12-23,Chennai,31766,308
cust_0000000053,2024-12-04,Delhi,89784,479
cust_0000000054,2025-05-04,Kolkata,145412,37
cust_0000000055,2026-02-20,Pune,661475,247
cust_0000000056,2025-04-14,Jaipur,45007,273
cust_0000000057,2025-03-17,Jaipur,139540,169
cust_0000000058,2025-01-13,Chennai,63214,145
cust_0000000059,2026-04-14,Mumbai,286230,448
cust_0000000060,2025-01-15,Delhi,43177,161
cust_0000000061,2026-01-28,Delhi,70791,144
cust_0000000062,2025-10-02,Pune,538373,469
cust_0000000063,2024-07-03,Pune,265570,458
cust_0000000064,2024-01-05,Bangalore,46007,74
cust_0000000065,2025-01-05,Howrah,744741,415
cust_0000000066,2025-03-28,Ahmedabad,48656,105
cust_0000000067,2024-01-24,Pune,155069,259
cust_0000000068,2024-03-06,Bangalore,60831,94
cust_0000000069,2025-12-10,Bangalore,72815,220
cust_0000000070,2024-01-10,Jaipur,128091,50
cust_0000000071,2024-07-20,Bangalore,126647,447
cust_0000000072,2026-01-22,Chennai,355248,15
cust_0000000073,2024-06-30,Kolkata,75760,189
cust_0000000074,2024-03-22,Mumbai,436852,193
cust_0000000075,2025-09-16,Jaipur,36430,124
cust_0000000076,2026-04-05,Delhi,517347,446
cust_0000000077,2025-12-20,Howrah,77675,301
cust_0000000078,2024-08-14,Ahmedabad,388486,143
cust_0000000079,2025-08-06,Howrah,195665,486
cust_0000000080,2025-02-22,Chennai,94662,467
cust_0000000081,2026-04-20,Bangalore,389221,70
cust_0000000082,2026-04-17,Pune,17326,151
cust_0000000083,2025-02-16,Hyderabad,51341,292
cust_0000000084,2025-05-05,Delhi,81182,17
cust_0000000085,2024-08-18,Ahmedabad,33236,69
cust_0000000086,2025-04-20,Delhi,170217,45
cust_0000000087,2025-05-22,Delhi,81655,246
cust_0000000088,2025-02-14,Pune,365429,262
cust_0000000089,2025-08-26,Kolkata,58619,17
cust_0000000090,2024-11-29,Chennai,128551,421
cust_0000000091,2026-01-30,Hyderabad,118968,212
cust_0000000092,2026-04-27,Jaipur,593819,94
cust_0000000093,2024-02-11,Kolkata,84670,236
cust_0000000094,2024-10-28,Hyderabad,145686,333
cust_0000000095,2026-01-28,Bangalore,56896,399
cust_0000000096,2025-03-26,Bangalore,94728,383
cust_0000000097,2024-11-21,Delhi,68096,190
cust_0000000098,2024-02-16,Kolkata,100743,481
cust_0000000099,2024-04-08,Chennai,29284,127
cust_0000000100,2025-09-11,Bangalore,40866,421
cust_0000000101,2024-05-22,Ahmedabad,1498133,37
cust_0000000102,2025-03-15,Chennai,149129,100
cust_0000000103,2024-05-15,Jaipur,45116,76
cust_0000000104,2024-02-26,Jaipur,162179,82
cust_0000000105,2025-08-28,Kolkata,97219,62
cust_0000000106,2025-01-17,Mumbai,86285,101
cust_0000000107,2025-12-02,Kolkata,66527,297
cust_0000000108,2025-02-08,Pune,126128,414
cust_0000000109,2025-07-30,Hyderabad,115037,438
cust_0000000110,2024-06-12,Ahmedabad,145803,249
cust_0000000111,2025-11-26,Bangalore,1380347,128
cust_0000000112,2024-10-20,Chennai,155194,144
cust_0000000113,2026-03-21,Mumbai,40295,417
cust_0000000114,2026-01-30,Mumbai,168940,346
cust_0000000115,2026-02-05,Ahmedabad,252676,451
cust_0000000116,2025-10-06,Jaipur,71739,291
cust_0000000117,2024-06-23,Pune,114965,390
cust_0000000118,2024-07-29,Delhi,87412,164
cust_0000000119,2025-02-09,Ahmedabad,412302,234
cust_0000000120,2024-06-19,Howrah,128544,128
cust_0000000121,2025-09-13,Kolkata,78468,241
cust_0000000122,2025-12-10,Kolkata,519065,172
cust_0000000123,2025-06-17,Hyderabad,238617,167
cust_0000000124,2025-04-20,Howrah,42512,121
cust_0000000125,2025-08-17,Pune,353348,458
cust_0000000126,2024-04-19,Kolkata,316424,232
cust_0000000127,2025-01-22,Kolkata,526871,328
cust_0000000128,2025-11-07,Ahmedabad,83973,384
cust_0000000129,2024-10-29,Delhi,58541,368
cust_0000000130,2026-04-02,Bangalore,221745,254
cust_0000000131,2024-04-14,Jaipur,116836,309
cust_0000000132,2024-10-26,Mumbai,564531,292
cust_0000000133,2026-02-18,Hyderabad,26644,73
cust_0000000134,2024-01-18,Jaipur,68783,206
cust_0000000135,2024-12-02,Jaipur,194648,398
cust_0000000136,2024-02-12,Jaipur,112947,362
cust_0000000137,2024-12-05,Chennai,59942,310
cust_0000000138,2025-12-08,Delhi,310193,8
cust_0000000139,2024-12-20,Pune,13946,263
cust_0000000140,2024-08-07,Hyderabad,159160,261
cust_0000000141,2025-02-28,Delhi,17124,465
cust_0000000142,2024-04-27,Delhi,26416,362
cust_0000000143,2026-02-15,Hyderabad,152770,212
cust_0000000144,2024-02-21,Hyderabad,228104,366
cust_0000000145,2025-07-16,Ahmedabad,135233,382
cust_0000000146,2024-10-27,Bangalore,50420,268
cust_0000000147,2025-08-02,Jaipur,95597,78
cust_0000000148,2026-02-16,Jaipur,42297,370
cust_0000000149,2025-06-03,Delhi,416016,278
cust_0000000150,2024-01-28,Jaipur,131563,308
cust_0000000151,2025-03-11,Pune,110796,493
cust_0000000152,2026-04-28,Hyderabad,233937,214
cust_0000000153,2026-01-19,Ahmedabad,890962,320
cust_0000000154,2026-01-16,Delhi,464631,21
cust_0000000155,2024-09-13,Mumbai,120844,229
cust_0000000156,2024-08-12,Ahmedabad,35549,484
cust_0000000157,2025-03-30,Mumbai,53661,154
cust_0000000158,2025-02-08,Jaipur,140620,274
cust_0000000159,2026-01-26,Mumbai,13712,440
cust_0000000160,2024-09-14,Bangalore,165813,26
cust_0000000161,2026-01-30,Pune,124192,49
cust_0000000162,2024-09-17,Ahmedabad,176703,126
cust_0000000163,2025-10-05,Ahmedabad,93294,389
cust_0000000164,2024-05-29,Delhi,76941,148
cust_0000000165,2024-10-09,Mumbai,86328,7
cust_0000000166,2025-12-17,Mumbai,18240,490
cust_0000000167,2024-06-04,Bangalore,28888,425
cust_0000000168,2025-10-01,Mumbai,215272,484
cust_0000000169,2024-02-15,Ahmedabad,131029,350
cust_0000000170,2024-05-19,Ahmedabad,103047,61
cust_0000000171,2026-01-14,Chennai,100397,373
cust_0000000172,2025-01-11,Pune,51612,227
cust_0000000173,2025-12-18,Mumbai,28931,100
cust_0000000174,2026-04-19,Bangalore,226024,263
cust_0000000175,2024-01-01,Chennai,31609,31
cust_0000000176,2026-03-02,Pune,168113,113
cust_0000000177,2024-03-24,Kolkata,21106,90
cust_0000000178,2025-06-14,Mumbai,67823,191
cust_0000000179,2024-01-01,Chennai,60859,393
cust_0000000180,2025-09-23,Pune,147408,226
cust_0000000181,2025-12-27,Chennai,359966,154
cust_0000000182,2025-05-04,Chennai,286550,132
cust_0000000183,2024-10-15,Delhi,299031,78
cust_0000000184,2025-03-27,Chennai,150101,457
cust_0000000185,2025-03-16,Jaipur,711017,71
cust_0000000186,2024-01-29,Bangalore,288885,309
cust_0000000187,2025-04-25,Kolkata,147994,319
cust_0000000188,2024-01-08,Kolkata,51799,420
cust_0000000189,2025-10-25,Pune,16974,161
cust_0000000190,2024-02-22,Mumbai,84229,241
cust_0000000191,2025-03-16,Mumbai,296725,288
cust_0000000192,2025-07-01,Chennai,76023,275
cust_0000000193,2024-10-16,Pune,129568,161
cust_0000000194,2025-09-30,Hyderabad,285682,102
cust_0000000195,2025-04-22,Chennai,110290,183
cust_0000000196,2024-01-17,Chennai,398340,281
cust_0000000197,2024-03-22,Ahmedabad,184955,254
cust_0000000198,2024-08-02,Chennai,54373,126
cust_0000000199,2025-08-02,Howrah,50959,249
cust_0000000200,2026-03-27,Delhi,199625,434
cust_0000000201,2024-04-30,Mumbai,152519,143
cust_0000000202,2024-12-27,Howrah,83063,366
cust_0000000203,2025-08-02,Jaipur,21097,12
cust_0000000204,2025-04-18,Ahmedabad,28555,210
cust_0000000205,2025-06-13,Bangalore,245447,302
cust_0000000206,2024-09-28,Delhi,7609,253
cust_0000000207,2024-01-20,Kolkata,968538,387
cust_0000000208,2025-04-28,Howrah,166665,76
cust_0000000209,2024-08-27,Jaipur,83916,322
cust_0000000210,2025-07-16,Mumbai,223439,379
cust_0000000211,2025-01-31,Hyderabad,200118,87
cust_0000000212,2025-05-04,Ahmedabad,475068,479
cust_0000000213,2025-01-04,Ahmedabad,49327,495
cust_0000000214,2024-10-13,Delhi,387941,422
cust_0000000215,2025-05-26,Ahmedabad,406244,378
cust_0000000216,2026-03-28,Kolkata,448388,459
cust_0000000217,2025-12-22,Bangalore,47012,454
cust_0000000218,2024-02-04,Mumbai,26795,100
cust_0000000219,2025-08-21,Jaipur,67526,295
cust_0000000220,2024-08-11,Kolkata,54028,138
cust_0000000221,2025-10-03,Ahmedabad,52133,320
cust_0000000222,2025-01-04,Pune,87302,398
cust_0000000223,2024-07-08,Hyderabad,131691,186
cust_0000000224,2024-07-25,Chennai,199101,466
cust_0000000225,2024-04-28,Chennai,180963,385
cust_0000000226,2024-09-10,Ahmedabad,101395,218
cust_0000000227,2024-03-02,Delhi,55658,425
cust_0000000228,2025-06-02,Howrah,49278,15
cust_0000000229,2025-05-21,Pune,148158,317
cust_0000000230,2025-05-27,Delhi,246553,161
