device_id,first_seen,associated_customer_ids
dev_0000000000,2026-02-14,cust_0000000000
dev_0000000001,2024-04-16,cust_0000000001
dev_0000000002,2024-04-16,cust_0000000001
dev_0000000003,2025-01-29,cust_0000000002
dev_0000000004,2024-06-18,cust_0000000003
dev_0000000005,2025-02-21,cust_0000000004
dev_0000000006,2024-10-19,cust_0000000005
dev_0000000007,2025-04-06,cust_0000000006
dev_0000000008,2026-03-08,cust_0000000007
dev_0000000009,2025-12-10,cust_0000000008
dev_0000000010,2024-01-09,cust_0000000009
dev_0000000011,2024-07-10,cust_0000000010
dev_0000000012,2026-03-25,cust_0000000011
dev_0000000013,2024-02-20,cust_0000000012
dev_0000000014,2025-07-23,cust_0000000013
dev_0000000015,2024-06-09,cust_0000000014
dev_0000000016,2024-06-09,cust_0000000014
dev_0000000017,2025-03-15,cust_0000000015
dev_0000000018,2024-02-04,cust_0000000016
dev_0000000019,2024-05-08,cust_0000000017
dev_0000000020,2024-03-12,cust_0000000018
dev_0000000021,2026-01-01,cust_0000000019
dev_0000000022,2024-06-08,cust_0000000020
dev_0000000023,2024-08-27,cust_0000000021
dev_0000000024,2025-02-17,cust_0000000022
dev_0000000025,2026-01-23,cust_0000000023
dev_0000000026,2024-04-19,cust_0000000024
dev_0000000027,2024-10-27,cust_0000000025
dev_0000000028,2024-06-10,cust_0000000026
dev_0000000029,2024-06-10,cust_0000000026
dev_0000000030,2025-04-18,cust_0000000027
dev_0000000031,2025-04-18,cust_0000000027
dev_0000000032,2023-12-21,cust_0000000028
dev_0000000033,2026-03-13,cust_0000000029
dev_0000000034,2025-04-20,cust_0000000030
dev_0000000035,2024-06-20,cust_0000000031
dev_0000000036,2025-05-04,cust_0000000032
dev_0000000037,2026-04-13,cust_0000000033
dev_0000000038,2024-09-03,cust_0000000034
dev_0000000039,2025-02-21,cust_0000000035
dev_0000000040,2025-02-25,cust_0000000036
dev_0000000041,2025-08-13,cust_0000000037
dev_0000000042,2024-01-19,cust_0000000038
dev_0000000043,2024-01-17,cust_0000000039
dev_0000000044,2025-03-31,cust_0000000040
dev_0000000045,2024-06-24,cust_0000000041
dev_0000000046,2024-07-30,cust_0000000042
dev_0000000047,2024-03-08,cust_0000000043
dev_0000000048,2024-08-13,cust_0000000044
dev_0000000049,2025-11-30,cust_0000000045
dev_0000000050,2025-02-28,cust_0000000046
dev_0000000051,2024-11-03,cust_0000000047
dev_0000000052,2024-11-01,cust_0000000048
dev_0000000053,2026-03-27,cust_0000000049
dev_0000000054,2024-10-05,cust_0000000050
dev_0000000055,2024-12-07,cust_0000000051
dev_0000000056,2023-12-23,cust_0000000052
dev_0000000057,2024-12-04,cust_0000000053
dev_0000000058,2024-12-04,cust_0000000053
dev_0000000059,2025-05-04,cust_0000000054
dev_0000000060,2026-02-20,cust_0000000055
dev_0000000061,2025-04-14,cust_0000000056
dev_0000000062,2025-03-17,cust_0000000057
dev_0000000063,2025-01-13,cust_0000000058
dev_0000000064,2025-01-13,cust_0000000058
dev_0000000065,2026-04-14,cust_0000000059
dev_0000000066,2026-04-14,cust_0000000059
dev_0000000067,2025-01-15,cust_0000000060
dev_0000000068,2025-01-15,cust_0000000060
dev_0000000069,2026-01-28,cust_0000000061
dev_0000000070,2025-10-02,cust_0000000062
dev_0000000071,2024-07-03,cust_0000000063
dev_0000000072,2024-01-05,cust_0000000064
dev_0000000073,2025-01-05,cust_0000000065
dev_0000000074,2025-03-28,cust_0000000066
dev_0000000075,2024-01-24,cust_0000000067
dev_0000000076,2024-03-06,cust_0000000068
dev_0000000077,2025-12-10,cust_0000000069
dev_0000000078,2024-01-10,cust_0000000070
dev_0000000079,2024-07-20,cust_0000000071
dev_0000000080,2026-01-22,cust_0000000072
dev_0000000081,2024-06-30,cust_0000000073
dev_0000000082,2024-03-22,cust_0000000074
dev_0000000083,2025-09-16,cust_0000000075
dev_0000000084,2026-04-05,cust_0000000076
dev_0000000085,2025-12-20,cust_0000000077
dev_0000000086,2024-08-14,cust_0000000078
dev_0000000087,2025-08-06,cust_0000000079
dev_0000000088,2025-02-22,cust_0000000080
dev_0000000089,2026-04-20,cust_0000000081
dev_0000000090,2026-04-17,cust_0000000082
dev_0000000091,2025-02-16,cust_0000000083
dev_0000000092,2025-05-05,cust_0000000084
dev_0000000093,2024-08-18,cust_0000000085
dev_0000000094,2025-04-20,cust_0000000086
dev_0000000095,2025-05-22,cust_0000000087
dev_0000000096,2025-02-14,cust_0000000088
dev_0000000097,2025-08-26,cust_0000000089
dev_0000000098,2024-11-29,cust_0000000090
dev_0000000099,2026-01-30,cust_0000000091
dev_0000000100,2026-04-27,cust_0000000092
