instrument_id,first_seen,associated_customer_ids
inst_0000000000,2026-02-14,cust_0000000000
inst_0000000001,2024-04-16,cust_0000000001
inst_0000000002,2025-01-29,cust_0000000002
inst_0000000003,2024-06-18,cust_0000000003
inst_0000000004,2024-06-18,cust_0000000003
inst_0000000005,2025-02-21,cust_0000000004
inst_0000000006,2024-10-19,cust_0000000005
inst_0000000007,2025-04-06,cust_0000000006
inst_0000000008,2026-03-08,cust_0000000007
inst_0000000009,2026-03-08,cust_0000000007
inst_0000000010,2025-12-10,cust_0000000008
inst_0000000011,2024-01-09,cust_0000000009
inst_0000000012,2024-07-10,cust_0000000010
inst_0000000013,2026-03-25,cust_0000000011
inst_0000000014,2024-02-20,cust_0000000012
inst_0000000015,2025-07-23,cust_0000000013
inst_0000000016,2024-06-09,cust_0000000014
inst_0000000017,2025-03-15,cust_0000000015
inst_0000000018,2024-02-04,cust_0000000016
inst_0000000019,2024-05-08,cust_0000000017
inst_0000000020,2024-03-12,cust_0000000018
inst_0000000021,2026-01-01,cust_0000000019
inst_0000000022,2024-06-08,cust_0000000020
inst_0000000023,2024-06-08,cust_0000000020
inst_0000000024,2024-08-27,cust_0000000021
inst_0000000025,2024-08-27,cust_0000000021
inst_0000000026,2025-02-17,cust_0000000022
inst_0000000027,2026-01-23,cust_0000000023
inst_0000000028,2024-04-19,cust_0000000024
inst_0000000029,2024-10-27,cust_0000000025
inst_0000000030,2024-06-10,cust_0000000026
inst_0000000031,2025-04-18,cust_0000000027
inst_0000000032,2023-12-21,cust_0000000028
inst_0000000033,2026-03-13,cust_0000000029
inst_0000000034,2025-04-20,cust_0000000030
inst_0000000035,2024-06-20,cust_0000000031
inst_0000000036,2024-06-20,cust_0000000031
inst_0000000037,2025-05-04,cust_0000000032
inst_0000000038,2026-04-13,cust_0000000033
inst_0000000039,2024-09-03,cust_0000000034
inst_0000000040,2025-02-21,cust_0000000035
inst_0000000041,2025-02-25,cust_0000000036
inst_0000000042,2025-08-13,cust_0000000037
inst_0000000043,2025-08-13,cust_0000000037
inst_0000000044,2024-01-19,cust_0000000038
